"sizeCm","massKg","age"
"1",180.385588932552,90.1927944662762,30.8901216655569
"2",,84.1930417849191,55.4664400972354
"3",155.58089733474,,49.0649123505599
"4",154.29692513226,77.1484625661302,
"5",160.665249401855,80.3326247009273,63.6418284866141
"6",158.551326910427,79.2756634552135,50.0065039763333
"7",176.141244275011,88.0706221375054,65.0952827089622
"8",157.64906242959,78.824531214795,61.7468514840128
"9",176.680491402593,88.3402457012965,48.7972620654234
"10",197.969873839829,98.9849369199144,50.8008501333889
"11",185.596078055809,92.7980390279044,68.6955901940926
"12",174.321711181427,87.1608555907135,36.7907874530834
"13",154.678242770112,77.339121385056,49.8516080137162
"14",169.626850039505,84.8134250197527,70.4112711792666
"15",163.995139550882,81.9975697754411,56.4077583926904
"16",191.57187478575,95.7859373928752,41.392255167769
"17",170.826955589416,85.4134777947081,36.0827937488282
"18",177.458673610078,88.7293368050392,55.9323587279595
"19",178.857870615441,89.4289353077203,41.2916769527076
"20",175.208639213118,87.6043196065592,34.7217999976214
"21",145.262962277512,72.6314811387559,61.5695296328721
"22",165.611062047442,82.8055310237212,50.1071363717081
"23",179.3931723175,89.69658615875,47.3953462916139
"24",152.641418749954,76.3207093749768,49.6337677503885
"25",173.567253133626,86.7836265668128,52.6115367192424
"26",148.538516331847,74.2692581659233,59.7584240854685
"27",153.095744803412,76.5478724017059,52.8195226588726
"28",165.21905515644,82.6095275782201,44.7223289699311
"29",203.659508581517,101.829754290758,45.6541652755666
"30",179.604352660272,89.8021763301359,47.7222077723015
"31",178.960371857625,89.4801859288126,53.6248644737096
"32",154.100463567294,77.0502317836472,44.3828038544684
"33",186.774918271001,93.3874591355003,45.085199173818
"34",192.415738407529,96.2078692037647,43.5475207119423
"35",190.971410479017,95.4857052395087,58.3200519080078
"36",185.45326982456,92.7266349122801,52.4009534551741
"37",182.863048464957,91.4315242324785,48.5334055438114
"38",154.649468460813,77.3247342304063,59.3530725784743
"39",190.993443792564,95.496721896282,30.3527397098395
"40",168.068904527973,84.0344522639864,29.6539482816754
"41",191.67535456318,95.8376772815899,52.0607523087486
"42",186.869392994894,93.4346964974472,56.230672778139
"43",190.483518496727,95.2417592483634,61.6938203511817
"44",150.106071889021,75.0530359445103,63.2051186774446
"45",168.690508979856,84.345254489928,59.5753810369451
"46",165.566748173299,82.7833740866495,52.4681157296856
"47",173.700664964797,86.8503324823983,31.1685626330139
"48",156.958671629011,78.4793358145057,52.5975092561028
"49",193.434017059985,96.7170085299924,54.5363594691791
"50",146.763906995519,73.3819534977597,70.9445497236917
"51",177.173870806692,88.5869354033459,63.4805885300534
"52",191.053276717912,95.5266383589559,52.8216125102963
"53",168.441232080753,84.2206160403763,53.7210346685184
"54",163.814720766429,81.9073603832146,48.1985549335968
"55",156.468146877473,78.2340734387367,43.3782415697952
"56",171.278903270548,85.6394516352742,42.1445457349314
"57",170.412591253298,85.2062956266489,34.4137364017882
"58",185.116439934252,92.5582199671259,55.9029971842225
"59",172.311891425661,86.1559457128306,52.6202727334164
"60",175.269831776524,87.6349158882622,41.5241345895918
"61",171.804388553651,85.9021942768253,60.4784769431141
"62",162.045032675528,81.0225163377641,51.1206503517522
"63",173.572989855816,86.786494927908,65.3460350243034
"64",178.417600488094,89.2088002440471,47.8229691672616
"65",172.488330342356,86.2441651711778,38.917777916958
"66",210.398844936891,105.199422468446,45.8249875489275
"67",142.751075330477,71.3755376652387,45.0330622471175
"68",179.83774962851,89.9188748142549,57.4798214557291
"69",171.573996455038,85.7869982275191,58.0385343351277
"70",195.014101406961,97.5070507034803,44.5542776759429
"71",185.173761426368,92.5868807131839,61.592565112096
"72",179.01399942843,89.5069997142151,45.7051235550606
"73",167.588240446188,83.7941202230941,55.0960696717397
"74",184.079876047147,92.0399380235736,58.4267962926849
"75",146.686627571269,73.3433137856345,62.7339453646269
"76",163.272742643095,81.6363713215477,74.7375568450974
"77",216.77605672324,108.38802836162,43.4113351905767
"78",163.022572165732,81.5112860828659,54.6585987332057
"79",174.365681613073,87.1828408065367,69.3564779501486
"80",174.590361984735,87.2951809923674,45.3062509420672
"81",178.146492558804,89.0732462794019,41.8544894150064
"82",181.656571602959,90.8282858014794,50.2110693916883
"83",170.993961147691,85.4969805738455,35.5448617821811
"84",168.515714113809,84.2578570569043,26.6678115735887
"85",199.277582517847,99.6387912589237,53.8583426069559
"86",166.060245448487,83.0301227242434,31.9381774381129
"87",149.720632866332,74.8603164331662,60.9883644218891
"88",182.176343516888,91.0881717584439,50.1374909314143
"89",181.603391497719,90.8016957488594,40.9017740704763
"90",176.451836738305,88.2259183691527,66.4609978097167
"91",187.805631339076,93.9028156695379,70.3792995248989
"92",155.131796993571,77.5658984967853,36.844456827511
"93",190.694258330894,95.3471291654468,42.5496991040822
"94",183.457529252838,91.7287646264188,57.0044926974998
"95",157.253635525706,78.6268177628531,35.3628975424008
"96",182.486970860243,91.2434854301213,75.3942318883459
"97",176.533525360842,88.2667626804209,49.1622897314965
"98",202.614803654464,101.307401827232,49.7025625618541
"99",177.718421988357,88.8592109941787,52.2548454892763
"100",187.324370367306,93.6621851836529,55.2080108904852
