"sizeCm","massKgNoisy","age"
"1",199.734676284661,101.578029488185,38.963741540668
"2",187.153926791881,94.0471392014418,38.4091287684924
"3",171.677725919912,85.5530727819626,40.0836242988813
"4",176.528820661229,87.4377261238913,61.4062897945461
"5",186.724234295367,92.1740141656777,41.0018378976248
"6",181.598711057622,89.4762042728544,34.550392684839
"7",156.479961372306,79.2021962131128,66.8939893264837
"8",156.605510076348,77.1480073630021,47.4949813452498
"9",180.973037441265,90.3155932840912,36.0892123910778
"10",170.991657327359,86.4405663141325,60.3645225605273
"11",179.113685981949,87.9399259796479,45.8121046083492
"12",189.394175258241,94.9895376883255,51.8204083299984
"13",158.761312535848,79.438311606122,45.2597068925765
"14",189.042059764002,92.7429508286155,45.0342790112925
"15",182.305287584429,90.1018513691387,45.5761667335778
"16",161.261597245079,82.2142082038715,58.2171813926389
"17",166.926216153409,83.1694549787698,60.9811383739527
"18",173.062690260387,86.538745818909,59.6024219261262
"19",206.512328202601,105.029121973898,49.1040435002745
"20",165.037979521863,83.4639472240015,46.6258375104633
"21",171.198484466854,84.1251404618278,45.6099241678448
"22",171.823322244453,85.0667640671604,46.497300765132
"23",158.511846910239,79.6929594990836,37.9151355267517
"24",154.955446522613,78.326893931219,37.0639479695116
"25",209.294397673861,104.799430454761,37.4535390390421
"26",172.824865467225,85.9124864476423,59.0515223259207
"27",169.161536342341,83.3548642391663,36.0468048599866
"28",169.044358164536,85.9378963636681,35.7063848162156
"29",183.938572126036,93.4735629328351,50.0157110375715
"30",186.827832589232,92.8989548405305,45.6012871456283
"31",162.958443383877,81.2971215551742,29.9027876441023
"32",176.984108255077,86.9909945963054,31.121797118459
"33",160.146311855132,80.8340741052296,51.2824160099687
"34",180.067691313159,91.2140038553895,53.5141612248573
"35",157.152365602538,77.0505139883547,61.3123784326666
"36",170.469332072661,84.9786727725348,42.5519715047214
"37",176.517534841775,88.2967492393175,39.4054761452468
"38",196.479546496494,98.6766540072099,44.1881360659341
"39",178.862436427949,90.0540704956414,60.9284805229276
"40",169.57346713917,83.8949212133971,44.7183038979725
"41",185.131825346282,93.3186819794425,46.7167424903052
"42",142.052617321003,72.422703801759,59.413198679999
"43",157.608914547021,78.2664466688313,52.9092086763939
"44",168.709338286787,84.1142006255167,44.3691750451019
"45",188.841034507612,94.6769034146561,51.9032941443998
"46",185.272887781768,92.7103206918306,43.754689210268
"47",193.037378835684,96.9638482375097,47.4077595626365
"48",172.255042448597,87.6786973345797,73.6880679165132
"49",171.607584829307,83.95154030661,44.0482366846418
"50",160.70091775068,79.6168626500715,32.8011337751692
"51",168.463752787234,84.7971193025115,51.4413404302917
"52",190.393906389865,96.4912237085107,57.4887422957954
"53",188.281146371508,95.9060938329207,70.9596005858301
"54",148.500828990152,73.7564017071381,46.3929593185567
"55",169.298521180716,82.7087521027255,40.1645308460744
"56",164.338033119166,82.2696972023441,35.0980791720467
"57",174.577693968161,87.3339344882811,43.5591293552717
"58",163.429537403639,82.4290017528732,38.4581400340874
"59",161.421750067478,80.9032429143442,36.4115384675508
"60",183.824635739042,92.9458572420165,58.939869621973
"61",180.988736204836,91.6550852591324,66.8164143469432
"62",174.752303312893,88.968318653006,28.4349505163262
"63",160.234371269647,78.7303548411311,36.6067000681759
"64",166.231574243982,82.3699071012091,40.1996449430521
"65",186.889185376456,92.1590298619087,50.9880691994666
"66",184.210437720107,91.3125923850704,48.6283515550944
"67",166.41508966775,82.6355198821867,49.8758945283199
"68",177.12270918425,88.4862690294713,65.5586046182876
"69",163.580217938293,82.5104797377155,48.9979000544854
"70",161.453814928969,80.5677557501894,45.1394736127805
"71",189.371856240919,95.0669443245927,39.1675859532979
"72",158.427113898276,77.7314812057621,55.0222976511763
"73",159.008877011519,79.292997412635,44.4412923566892
"74",154.028931070072,78.8400600300847,64.4128513812267
"75",156.580331448355,79.494264143463,45.2266125912632
"76",171.388138261299,84.1114321773195,40.6373992378535
"77",164.792019103394,81.9249290734164,47.958389564439
"78",173.007082635346,86.3238820376784,47.7200243100872
"79",184.18107400081,92.3896990948861,47.5170345892932
"80",157.740874601674,80.2915392732966,48.5966859444361
"81",165.979943174023,84.719120821491,48.6662716391429
"82",183.866102127192,91.8613720591278,61.904853629712
"83",172.99892404363,84.7683508510925,30.6594806150671
"84",196.104343084092,96.8008344105619,52.8551960139428
"85",174.698424811937,89.2281271216891,46.4319608931314
"86",179.070399156379,89.1864361309347,50.5769869379107
"87",183.049056231335,90.5841038652293,54.7437967518766
"88",187.819685644264,95.3810775171854,56.2739817154394
"89",187.545123157551,93.2422627245515,48.8493494699842
"90",195.981759266644,98.5814677019108,65.3889266802497
"91",202.191054000108,100.58178934481,36.7072516830286
"92",175.69223988752,87.9690979195158,48.4664127930481
"93",174.486057326885,88.3626043436748,46.8199100113942
"94",157.070765612652,77.7794768819618,45.0386008495776
"95",158.674493861748,80.8626707463463,51.8894826034907
"96",154.665973130766,75.3879741729087,45.1719969255695
"97",178.495477616913,89.0611432633065,44.8970503221288
"98",176.911800044217,87.5215911150924,63.0816809007909
"99",178.90824104614,90.3004626312816,34.4309678410301
"100",193.984395649367,95.7068875041283,47.6391622927082
